,0,1
2005-01-01,959,686
2005-01-02,959,686
2005-01-03,959,686
2005-01-04,959,686
2005-01-05,959,686
2005-01-06,959,686
2005-01-07,959,686
2005-01-08,959,686
2005-01-09,959,686
2005-01-10,959,686
2005-01-11,959,686
2005-01-12,959,686
2005-01-13,959,686
2005-01-14,959,686
2005-01-15,959,686
2005-01-16,959,686
2005-01-17,959,686
2005-01-18,959,686
2005-01-19,959,686
2005-01-20,959,686
2005-01-21,959,686
2005-01-22,959,686
2005-01-23,959,686
2005-01-24,959,686
2005-01-25,959,686
2005-01-26,959,686
2005-01-27,959,686
2005-01-28,959,686
2005-01-29,959,686
2005-01-30,959,686
2005-01-31,959,686
2005-02-01,959,686
2005-02-02,959,686
2005-02-03,959,686
2005-02-04,959,686
2005-02-05,959,686
2005-02-06,959,686
2005-02-07,959,686
2005-02-08,959,686
2005-02-09,959,686
2005-02-10,959,686
2005-02-11,959,686
2005-02-12,959,686
2005-02-13,959,686
2005-02-14,959,686
2005-02-15,959,686
2005-02-16,959,686
2005-02-17,959,686
2005-02-18,959,686
2005-02-19,959,686
2005-02-20,959,686
2005-02-21,959,686
2005-02-22,959,686
2005-02-23,959,686
2005-02-24,959,686
2005-02-25,959,686
2005-02-26,959,686
2005-02-27,959,686
2005-02-28,959,686
2005-03-01,959,686
2005-03-02,959,686
2005-03-03,959,686
2005-03-04,959,686
2005-03-05,959,686
2005-03-06,959,686
2005-03-07,959,686
2005-03-08,959,686
2005-03-09,959,686
2005-03-10,959,686
2005-03-11,959,686
2005-03-12,959,686
2005-03-13,959,686
2005-03-14,959,686
2005-03-15,959,686
2005-03-16,959,686
2005-03-17,959,686
2005-03-18,959,686
2005-03-19,959,686
2005-03-20,959,686
2005-03-21,959,686
2005-03-22,959,686
2005-03-23,959,686
2005-03-24,959,686
2005-03-25,959,686
2005-03-26,959,686
2005-03-27,959,686
2005-03-28,959,686
2005-03-29,959,686
2005-03-30,959,686
2005-03-31,959,686
2005-04-01,959,686
2005-04-02,959,686
2005-04-03,959,686
2005-04-04,959,686
2005-04-05,959,686
2005-04-06,959,686
2005-04-07,959,686
2005-04-08,959,686
2005-04-09,959,686
2005-04-10,959,686
2005-04-11,959,686
2005-04-12,959,686
2005-04-13,959,686
2005-04-14,959,686
2005-04-15,959,686
2005-04-16,959,686
2005-04-17,959,686
2005-04-18,959,686
2005-04-19,959,686
2005-04-20,959,686
2005-04-21,959,686
2005-04-22,959,686
2005-04-23,959,686
2005-04-24,959,686
2005-04-25,959,686
2005-04-26,959,686
2005-04-27,959,686
2005-04-28,959,686
2005-04-29,959,686
2005-04-30,959,686
2005-05-01,959,686
2005-05-02,959,686
2005-05-03,959,686
2005-05-04,959,686
2005-05-05,959,686
2005-05-06,959,686
2005-05-07,959,686
2005-05-08,959,686
2005-05-09,959,686
2005-05-10,959,686
2005-05-11,959,686
2005-05-12,959,686
2005-05-13,959,686
2005-05-14,959,686
2005-05-15,959,686
2005-05-16,959,686
2005-05-17,959,686
2005-05-18,959,686
2005-05-19,959,686
2005-05-20,959,686
2005-05-21,959,686
2005-05-22,959,686
2005-05-23,959,686
2005-05-24,959,686
2005-05-25,959,686
2005-05-26,959,686
2005-05-27,959,686
2005-05-28,959,686
2005-05-29,959,686
2005-05-30,959,686
2005-05-31,959,686
2005-06-01,959,686
2005-06-02,959,686
2005-06-03,959,686
2005-06-04,959,686
2005-06-05,959,686
2005-06-06,959,686
2005-06-07,959,686
2005-06-08,959,686
2005-06-09,959,686
2005-06-10,959,686
2005-06-11,959,686
2005-06-12,959,686
2005-06-13,959,686
2005-06-14,959,686
2005-06-15,959,686
2005-06-16,959,686
2005-06-17,959,686
2005-06-18,959,686
2005-06-19,959,686
2005-06-20,959,686
2005-06-21,959,686
2005-06-22,959,686
2005-06-23,959,686
2005-06-24,959,686
2005-06-25,959,686
2005-06-26,959,686
2005-06-27,959,686
2005-06-28,959,686
2005-06-29,959,686
2005-06-30,959,686
2005-07-01,959,686
2005-07-02,959,686
2005-07-03,959,686
2005-07-04,959,686
2005-07-05,959,686
2005-07-06,959,686
2005-07-07,959,686
2005-07-08,959,686
2005-07-09,959,686
2005-07-10,959,686
2005-07-11,959,686
2005-07-12,959,686
2005-07-13,959,686
2005-07-14,959,686
2005-07-15,959,686
2005-07-16,959,686
2005-07-17,959,686
2005-07-18,959,686
2005-07-19,959,686
2005-07-20,959,686
2005-07-21,959,686
2005-07-22,959,686
2005-07-23,959,686
2005-07-24,959,686
2005-07-25,959,686
2005-07-26,959,686
2005-07-27,959,686
2005-07-28,959,686
2005-07-29,959,686
2005-07-30,959,686
2005-07-31,959,686
2005-08-01,959,686
2005-08-02,959,686
2005-08-03,959,686
2005-08-04,959,686
2005-08-05,959,686
2005-08-06,959,686
2005-08-07,959,686
2005-08-08,959,686
2005-08-09,959,686
2005-08-10,959,686
2005-08-11,959,686
2005-08-12,959,686
2005-08-13,959,686
2005-08-14,959,686
2005-08-15,959,686
2005-08-16,959,686
2005-08-17,959,686
2005-08-18,959,686
2005-08-19,959,686
2005-08-20,959,686
2005-08-21,959,686
2005-08-22,959,686
2005-08-23,959,686
2005-08-24,959,686
2005-08-25,959,686
2005-08-26,959,686
2005-08-27,959,686
2005-08-28,959,686
2005-08-29,959,686
2005-08-30,959,686
2005-08-31,959,686
2005-09-01,959,686
2005-09-02,959,686
2005-09-03,959,686
2005-09-04,959,686
2005-09-05,959,686
2005-09-06,959,686
2005-09-07,959,686
2005-09-08,959,686
2005-09-09,959,686
2005-09-10,959,686
2005-09-11,959,686
2005-09-12,959,686
2005-09-13,959,686
2005-09-14,959,686
2005-09-15,959,686
2005-09-16,959,686
2005-09-17,959,686
2005-09-18,959,686
2005-09-19,959,686
2005-09-20,959,686
2005-09-21,959,686
2005-09-22,959,686
2005-09-23,959,686
2005-09-24,959,686
2005-09-25,959,686
2005-09-26,959,686
2005-09-27,959,686
2005-09-28,959,686
2005-09-29,959,686
2005-09-30,959,686
2005-10-01,959,686
2005-10-02,959,686
2005-10-03,959,686
2005-10-04,959,686
2005-10-05,959,686
2005-10-06,959,686
2005-10-07,959,686
2005-10-08,959,686
2005-10-09,959,686
2005-10-10,959,686
2005-10-11,959,686
2005-10-12,959,686
2005-10-13,959,686
2005-10-14,959,686
2005-10-15,959,686
2005-10-16,959,686
2005-10-17,959,686
2005-10-18,959,686
2005-10-19,959,686
2005-10-20,959,686
2005-10-21,959,686
2005-10-22,959,686
2005-10-23,959,686
2005-10-24,959,686
2005-10-25,959,686
2005-10-26,959,686
2005-10-27,959,686
2005-10-28,959,686
2005-10-29,959,686
2005-10-30,959,686
2005-10-31,959,686
2005-11-01,959,686
2005-11-02,959,686
2005-11-03,959,686
2005-11-04,959,686
2005-11-05,959,686
2005-11-06,959,686
2005-11-07,959,686
2005-11-08,959,686
2005-11-09,959,686
2005-11-10,959,686
2005-11-11,959,686
2005-11-12,959,686
2005-11-13,959,686
2005-11-14,959,686
2005-11-15,959,686
2005-11-16,959,686
2005-11-17,959,686
2005-11-18,959,686
2005-11-19,959,686
2005-11-20,959,686
2005-11-21,959,686
2005-11-22,959,686
2005-11-23,959,686
2005-11-24,959,686
2005-11-25,959,686
2005-11-26,959,686
2005-11-27,959,686
2005-11-28,959,686
2005-11-29,959,686
2005-11-30,959,686
2005-12-01,959,686
2005-12-02,959,686
2005-12-03,959,686
2005-12-04,959,686
2005-12-05,959,686
2005-12-06,959,686
2005-12-07,959,686
2005-12-08,959,686
2005-12-09,959,686
2005-12-10,959,686
2005-12-11,959,686
2005-12-12,959,686
2005-12-13,959,686
2005-12-14,959,686
2005-12-15,959,686
2005-12-16,959,686
2005-12-17,959,686
2005-12-18,959,686
2005-12-19,959,686
2005-12-20,959,686
2005-12-21,959,686
2005-12-22,959,686
2005-12-23,959,686
2005-12-24,959,686
2005-12-25,959,686
2005-12-26,959,686
2005-12-27,959,686
2005-12-28,959,686
2005-12-29,959,686
2005-12-30,959,686
2005-12-31,959,686
2006-01-01,959,686
